"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
18/09/2023;9813389580;0;"PANEL ESTANQUEI D AR";;;;;20/09/2023;
18/09/2023;9813389980;1;"PANEL ESTANQUEI I AR";++;;;;21/09/2023;
18/09/2023;9815105580;1;CABLERIA;++;;;;21/09/2023;
18/09/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";1
18/09/2023;9818847480;1;"LUNA FIJA I";+++;;;;21/09/2023;
18/09/2023;9818867680;0;"CAJA BOMBA REPA";;;;;20/09/2023;
18/09/2023;98207996ZD;1;"GUARNECIDO D";+++;;;;21/09/2023;
18/09/2023;9821043280;1;"TUBO FAP NUEVO TR PSA S007 PSA SF00";;312201978;VR3FHEHYRKY171989;;"Distribucion controlada : Campana de seguridad en curso";1
18/09/2023;9827171980;0;"ALTERNADOR NE CLASSE 18";;;;;20/09/2023;
18/09/2023;9836038980;0;"LAMELUNAS EXT I";;;;;20/09/2023;1
18/09/2023;9837812480;0;"CALA R/S";;;;;20/09/2023;
18/09/2023;CTO80001330;0;"I:SOPORTE AM";;;;;20/09/2023;
15/09/2023;13155024;5;"GRAPA SUJECION";;;;;"No disponible";
15/09/2023;1634857580;1;"RETROVISOR EXT I";+++;;;;20/09/2023;
15/09/2023;1657637780;1;"CAJA DE MANDO";;;VR3UBYHTKP5080845;;20/09/2023;
15/09/2023;1669685180;1;BLOQUEADOR;++;312192160;;RUALE;20/09/2023;
15/09/2023;352274;2;"TORNILLO 14X15-100";++;;;;20/09/2023;1
15/09/2023;5081J1;1;"BARRA ANTIACERC";++;;;;20/09/2023;1
15/09/2023;9808003980;1;"LUNA PARABRISAS";;;;;"No disponible (penuria)";1
15/09/2023;9822498480;1;"TAPA CARCASA";;312188470;;6535KHB;"No disponible (penuria)";
15/09/2023;9835855380;1;"TURBO NUEVO";+++;;;;20/09/2023;
14/09/2023;13122582;1;"O:CAB PORTÓN TR";;;;;"No disponible";
14/09/2023;13137859;1;EMPUNADURA;;312183153;;"automotor villacañas";"No disponible";
14/09/2023;1617019980;1;"LLAVE CERRADURA";;;VR3ECYHYCJJ808967;;20/09/2023;
14/09/2023;1657637780;1;"CAJA DE MANDO";;;VR3UBYHYJK5002410;;19/09/2023;
14/09/2023;1667447580;1;"E:EL FILTRO AI";+++;;;;19/09/2023;
14/09/2023;1682620880;1;"DEPÓSITO UREA";++;312185902;VF7SXBHY6HT580556;PUJYREL;22/09/2023;
14/09/2023;96778754ZD;1;GUARNECIDO;+++;;;;19/09/2023;
14/09/2023;9814612980;1;"CERRADURA I";;312186068;;VILLAR/PL;"No disponible";
14/09/2023;9817643380;1;JUNTA;;312188461;;8206KVL;"No disponible (penuria)";
14/09/2023;9840051580;1;"MONOGRAMA I";+++;;;;19/09/2023;
14/09/2023;9840051680;1;"MONOGRAMA D";+++;;;;21/09/2023;
14/09/2023;9842938980;1;CAJA;+++;;;;19/09/2023;
14/09/2023;VAL577930;1;"I:ESCO LIMPIA";;;;;20/09/2023;
13/09/2023;6554GQ;1;EMISOR;;;VF3KMNFUC20051868;centromotor;"PR con clave";
13/09/2023;7136EX;1;"GUARDABARROS I";+++;312179902;;;26/09/2023;2
13/09/2023;7422E6;1;CAPUCHÓN;;;;;"No disponible";1
13/09/2023;966329;1;"ALFOMBR MONOBL NT";;;;;"No disponible";
13/09/2023;9821043280;1;"TUBO FAP NUEVO TR PSA S007 PSA SF00";;312177573;;celcha;"Distribucion controlada : Campana de seguridad en curso";
12/09/2023;12690748;1;"SONDA TEMP ECH";+++;312166820;;PEÑA;20/09/2023;
12/09/2023;1636413980;1;"JGO 4 PLAQUETAS";+++;312179337;;bonilla;27/09/2023;
12/09/2023;1667847980;1;"KIT ALARMA UNIVERSEL LIN";;;;;"No disponible (penuria)";1
12/09/2023;46343739;1;SOPORTE;;8590704;;alosauto;14/11/2023;
12/09/2023;51854694;1;"LAMPARA DE M.A.";;8590707;;alosauto;20/09/2023;
12/09/2023;55353028;1;"O:TUBO ALIM";+++;312179350;;celcha;20/09/2023;
12/09/2023;55353029;1;"O:TUBO ALIM";+++;312179354;;celcha;20/09/2023;
12/09/2023;55504477;1;"SONDA TEMP ECH";+++;312166808;;PEÑA;20/09/2023;
12/09/2023;6542GA;2;"PORTA-CLIPS 4 VOIES";+++;;;;19/09/2023;
12/09/2023;9822498280;1;"TAPA CARCASA";+++;;;;20/09/2023;1
11/09/2023;12855117;4;"JUNTA INYECTOR";;;;;"No disponible (penuria)";
11/09/2023;55275195;1;"MANGA FLEXIBLE";;;;;18/09/2023;
11/09/2023;55278697;1;TURBOCOMPRESOR;;8586079;3C4NJCBH0JT317384;ALOSAUT0;20/09/2023;
11/09/2023;6206S1;1;"FARO DELANTERO D";+++;312157788;;124210;19/09/2023;
11/09/2023;90523769;1;"CILINDRO EMISOR";+++;312156357;W0L0AHL0885080998;;20/09/2023;1
11/09/2023;9121965;12;"ACEITE CV";;312156564;W0L0AHL0885080998;;"No disponible";1
11/09/2023;93174540;1;"DISCO EMBRAGUE";+++;312156407;W0L0AHL0885080998;;20/09/2023;1
11/09/2023;93182554;1;"MECANISMO EMBRA";;312156510;W0L0AHL0885080998;;"No disponible (penuria)";1
11/09/2023;K68194930AB;1;"ESPATULA LIMPIAPARAB";;;;;15/09/2023;
08/09/2023;13598775;3;"MODULO EMISOR";;312149264;;BONILLA;"No disponible (penuria)";
08/09/2023;1682620880;1;"DEPÓSITO UREA";+++;312149899;VF3CUYHYPKY098966;9079KXD;20/09/2023;
08/09/2023;1690270380;1;"CARGADOR BATERI";;312163034;VF3V1ZKXZLZ068834;8833LKP;"PR con clave";
08/09/2023;9665878080;1;"CAJA PGA";;312149280;VF38EBHXMGL031543;GONZAUTO;"No disponible (penuria)";
08/09/2023;9805721280;1;CAJETÍN;++;312149243;;GONZAUTO;20/09/2023;
07/09/2023;1675873780;1;"MOTOR DI EST";++;312138992;VF3YAANFA12S79736;BONILLA;21/09/2023;
07/09/2023;9822498480;1;"TAPA CARCASA";;312139030;;;"No disponible (penuria)";
07/09/2023;9831600980;1;CORREA;;312144048;;3620LHV;"No disponible (penuria)";
06/09/2023;1609583080;1;"JGO 2 DISCOS DIAM 290 EP 12";;312130133;VF7VBYHRKM7843355;arrate;"No disponible (penuria)";
06/09/2023;1681935180;1;"E:KIT RODAM";+++;312126411;;;20/09/2023;2
06/09/2023;1860987000;1;UTIL;;8580943;;ALOSAUTO;;
06/09/2023;42438508;1;"PROTECTOR D";;312131838;;VILLAR/PL;"No disponible";
06/09/2023;9822498280;1;"TAPA CARCASA";+++;;;;20/09/2023;
05/09/2023;13285611;1;"O:PUERTA TR D";+++;312121438;;LIEBANA;27/09/2023;
05/09/2023;8525XA;1;"ALETA TRASERA I NUE";+++;312132683;;2732JTZ;20/09/2023;
05/09/2023;K68395074AA;1;"CENTRALITA ELEC-";;8579277;;;05/10/2023;
04/09/2023;1609583080;1;"JGO 2 DISCOS DIAM 290 EP 12";;312179792;;;"No disponible (penuria)";1
04/09/2023;1638157680;1;"MOTOR DI EST";;312113435;VF3YD2MGC12L83006;AUT.QUINTANAR;"No disponible (penuria)";
04/09/2023;71777824;1;"JUEGO DE PINONES";;8577483;;ALOSAUTO;20/09/2023;
01/09/2023;13419441;1;"O:RACOR AIRE";;;;;"No disponible (penuria)";
01/09/2023;16172955DZ;1;"PLANCHA ABORDO";+++;312156443;;BASCON;22/09/2023;
01/09/2023;1692299280;1;"CAJA DE MANDO";;312186052;VR3FPHNSLPY563320;bonilla;"PR con clave";
01/09/2023;51785379;1;TAPA;;8575863;;ALOSAUTO;20/09/2023;
01/09/2023;7013FV;1;"DEFLECTOR AIRE";;;;NIPA;07/09/2023;
01/09/2023;9678811280;1;"GUARDABARROS D";;312104668;;BONILLA;"No disponible (penuria)";
01/09/2023;9822498280;1;"TAPA CARCASA";+++;312104663;;;20/09/2023;
31/08/2023;1682629280;1;"CREMALLERA EST";;312107893;VF3MCYHZUPS020496;2974MFB;"PR con clave";
31/08/2023;6000618320;1;RESISTOR;;;;;;
30/08/2023;110437;1;"JUNTA SOPORTE";;;;;"No determinado";1
30/08/2023;1682490580;1;"PORTACARGAS ACIER LONG 2";+;312107132;;;27/09/2023;1
30/08/2023;60989860;1;MOLDURA;;8574205;;ALOSAUTO;;
30/08/2023;98270086VV;1;"EMBELLECEDOR D AR";+++;312113403;;6105KCB;20/09/2023;
29/08/2023;39128946;1;"O:PORTÓN TR";;312073795;W0VBF8EV8L8009020;MACOMAN;"No disponible (penuria)";
29/08/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
25/08/2023;1636413980;1;"JGO 4 PLAQUETAS";;312058975;;PUJYREL;"No disponible";
25/08/2023;16800261XT;1;"REJILLA SUPERIEUR";;;;;"No disponible (penuria)";2
23/08/2023;1679833180;1;"MEC DIR ELECT";;312187773;;BONILLA;"PR con clave";
23/08/2023;9802769780;1;EMBELLECEDOR;;312048086;;DAVEN;"No disponible";
22/08/2023;1682620880;1;"DEPÓSITO UREA";;312048148;;ARRATE;"No disponible (penuria)";
22/08/2023;453467;1;"KIT CONTACTOR";;312038063;;;"No determinado";
22/08/2023;735735441;1;"PARACHOQUE TRASERO";;8564822;;ALOSAUTO;;
22/08/2023;9817643380;1;JUNTA;;;;;"No disponible (penuria)";
22/08/2023;9822498480;1;"TAPA CARCASA";;312048182;;;"No disponible (penuria)";
21/08/2023;1682620880;1;"DEPÓSITO UREA";;312033305;;BONILLA;"No disponible (penuria)";
21/08/2023;98270086VV;1;"EMBELLECEDOR D AR";+++;;;;26/09/2023;1
18/08/2023;16799828XT;1;"PROTECTOR D";;;;;"No disponible (penuria)";
18/08/2023;1682620880;1;"DEPÓSITO UREA";;312029199;;BONILLA;"No disponible (penuria)";
18/08/2023;9822498480;1;"TAPA CARCASA";;312048183;;;"No disponible (penuria)";
14/08/2023;1682620880;1;"DEPÓSITO UREA";;312005087;;67615;"No disponible (penuria)";
14/08/2023;9811718480;1;"PILOTO ANTINIEB I DE PARE CHOCS AR";;312020003;;3391JZV;"No disponible (penuria)";
10/08/2023;117493;1;"VARILLA NIVEL";;311984262;;"LA UNION";"No disponible";
10/08/2023;1682813780;1;"CARGADOR BATERI";;312130386;VR3F3DGZTLY014212;GONZAUTO;"PR con clave";
09/08/2023;55249868;10;"BUJIA ENCENDIDO";;312033983;;;"Pieza remplazada";
08/08/2023;1614090780;1;"MOTOR DI EST";+++;311977262;VF3VBBHXHGZ039199;5926JTY;20/09/2023;
08/08/2023;1648406980;4;"E:BUJÍA ERP 60";;312021199;;;"No disponible";
08/08/2023;16799829XT;1;"PROTECTOR I";;311981061;;PUJYREL;"No disponible (penuria)";
08/08/2023;453467;1;"KIT CONTACTOR";;312021200;;;"No determinado";
07/08/2023;13419441;1;"O:RACOR AIRE";;312158298;;REMYSA;"No disponible (penuria)";
04/08/2023;13598775;1;"MODULO EMISOR";;312149267;;;"No disponible (penuria)";
04/08/2023;1648406980;4;"E:BUJÍA ERP 60";;311957117;;;"No disponible";
04/08/2023;1682620180;1;"DEPÓSITO UREA";;311966723;;GONZAUTO;"No disponible (penuria)";
04/08/2023;39086895;1;"O:SOPORTE I";;311977921;;67615;"No disponible (penuria)";
03/08/2023;1609663580;1;"ALETA TRASERA";;311973960;;M/LABARRA;"No disponible (penuria)";
03/08/2023;1680022780;1;"PILOTO AR I";;;;;"No disponible (penuria)";
03/08/2023;55579120;1;"JUNTA CIRCUITO";;;;;"No disponible";
03/08/2023;6991Y8;10;GRAPA;;;;;"No disponible";
03/08/2023;8120Y0;1;"EMBELLECEDOR D";;;;;"No disponible";
02/08/2023;9822498280;1;"TAPA CARCASA";+++;311949271;;;20/09/2023;
01/08/2023;1682620880;1;"DEPÓSITO UREA";;311941723;;BONILLA;"No disponible (penuria)";
01/08/2023;9822498280;4;"TAPA CARCASA";+++;311949275;;;20/09/2023;
31/07/2023;13419441;1;"O:RACOR AIRE";;;;;"No disponible (penuria)";
31/07/2023;1712C9;10;"ARANDELA 6 4 X 14 - 1";;311928246;;1174FZJ;"No disponible";
31/07/2023;60942357;1;DECLADO;;8562158;ZACNJCB15LPR11592;CARBONELL;;
28/07/2023;1612810980;0;"CAJA CAMBIO EST";;;;;20/09/2023;
28/07/2023;1654515680;0;"KIT COMPLETO";;;;;20/09/2023;
28/07/2023;1677646280;1;"CALCULADOR MOT";;311979621;;HERMAUTO;"PR con clave";
28/07/2023;180387;0;"EJE SOPORTE 12X175-14X150-98-127";;;;;20/09/2023;
28/07/2023;4547L4;0;"SOPORTE CABLE D AV";;;;;20/09/2023;2
28/07/2023;9804514980;0;"TOMA ENTRADA";;;;;20/09/2023;
28/07/2023;98226120TW;0;EMBELLECEDOR;;;;;20/09/2023;
27/07/2023;52048720;1;PUERTA;;8542015;;dibaocar;18/09/2023;
26/07/2023;7013V2;1;INSONORIZANTE;;311909825;;CARREÑO;"No disponible";
26/07/2023;9812833480;1;"SOPORTE CAJA";++;;;;20/09/2023;1
25/07/2023;1682620880;1;"DEPÓSITO UREA";;311909831;;CELCHA;"No disponible (penuria)";
25/07/2023;23163578;1;"O:RACOR AIRE";;311909889;;;"No disponible (penuria)";
25/07/2023;9826344180;1;"TAPA FIJACIÓN";++;;;;20/09/2023;1
25/07/2023;9844573280;1;"FILTRO LÍQUIDO";;311908975;;PRIVADO;"Pieza en curso de referencia";
24/07/2023;1623219680;1;"VALVULA EXPANS";++;311893356;;"1682620880 ";20/09/2023;
24/07/2023;1682620880;1;"DEPÓSITO UREA";;311893376;;STOCK;"No disponible (penuria)";
24/07/2023;7452GR;1;"CONJ EMBELLECED";++;;;VALIENTE;20/09/2023;
24/07/2023;8153WX;1;"RETROVISOR EXT D";+++;;;VALIENTE;20/09/2023;
24/07/2023;9319S8;1;"EMBELLECEDOR I";+++;;;HERM.;20/09/2023;
20/07/2023;1682615580;1;"RES UREA CAMB E";++;311887115;VF3LBBHZ3HS169665;;20/09/2023;1
20/07/2023;8226GG;1;"GUARNECIDO INF";;312119581;VF3YBBMFB11443700;;"No disponible";1
20/07/2023;9464AY;1;"ALFOMBR MOQUETA R VP";+;312031982;;"auomotor quintanar";02/10/2023;
20/07/2023;96768681VV;1;EMBELLECEDOR;;312031960;;"auomotor quintanar";"No disponible";
19/07/2023;156091892;1;FORRO;;;;;11/08/2023;
19/07/2023;6991Y8;20;GRAPA;;;;;"No disponible";
17/07/2023;55231423;1;"ARBOL FLEXIBLE";;8562160;;ELECTROMOTRI;06/10/2023;
14/07/2023;9822498280;1;"TAPA CARCASA";+++;311949282;;;20/09/2023;
13/07/2023;735486283;1;EMBELLECEDOR;;;;;;
11/07/2023;9822498480;1;"TAPA CARCASA";;311822919;;2782LJZ;"No disponible (penuria)";
10/07/2023;16799828XT;1;"PROTECTOR D";;311900803;;;"No disponible (penuria)";
10/07/2023;16799830XT;1;"PROTECTOR D";;;;;"No disponible (penuria)";
10/07/2023;168132061T;1;"PROTECTOR I";;311827309;;FEALMA;"No disponible (penuria)";
06/07/2023;13419441;1;"O:RACOR AIRE";;311788523;;PLASENCIA;"No disponible (penuria)";
06/07/2023;1682620880;1;"DEPÓSITO UREA";;311788500;;HERMAUTO;"No disponible (penuria)";
05/07/2023;1682620880;2;"DEPÓSITO UREA";;311788468;;ARRATE;"No disponible (penuria)";
05/07/2023;98329574SN;1;"MONOGRAMA D";;311802376;;;"No disponible";1
03/07/2023;6554X4;1;"BLOQUE CONMUTAD";;311788426;;REMYSA;"No disponible";
30/06/2023;16799830XT;1;"PROTECTOR D";;311750483;;;"No disponible (penuria)";1
29/06/2023;1343KR;1;"RACOR ENTRADA";;311745381;;GONZAUTO;"Ya no se suministra";
29/06/2023;93198631;1;"O:CAB FAROS TR I";;311747870;;;"No disponible";
28/06/2023;1680022680;1;"PILOTO AR I";+++;311733001;;;20/09/2023;2
27/06/2023;9310P6;1;"LAMELUNAS EXT D";;311727875;;BONILLA;"No disponible";
26/06/2023;16799827XT;1;"PROTECTOR I";;;;;"No disponible (penuria)";
26/06/2023;16799829XT;1;"PROTECTOR I";;311981060;;;"No disponible (penuria)";
22/06/2023;168132071T;1;"PROTECTOR D";;311747597;;PRIVADO;"No disponible (penuria)";
21/06/2023;9822498280;1;"TAPA CARCASA";+++;311689343;;STOCK;20/09/2023;
20/06/2023;1677667780;1;"GUARNECIDO I";;;;REHATRANS;"No disponible";
19/06/2023;1635516880;1;"CAJA AUTONOM";;311695351;VR3F45GFTKY172054;;"PR con clave";1
19/06/2023;9822498480;1;"TAPA CARCASA";;311675327;;03404HFT;"No disponible (penuria)";
16/06/2023;13210736;1;"CERRADURA I";;311666780;;"VILLAR CORIA";"No disponible";
16/06/2023;1613564980;1;EMBELLECEDOR;;311666767;;LABARRA;"No disponible";
16/06/2023;1636413980;1;"JGO 4 PLAQUETAS";+++;311784137;;;27/09/2023;1
16/06/2023;233933;1;"DISTANCIADOR 25 043 X 32 - 27 275";;;;8636CKD;"No disponible";
16/06/2023;9822498480;1;"TAPA CARCASA";;311665794;;6199KCS;"No disponible (penuria)";
12/06/2023;93168100;1;TORNILLO;;311634683;;romauto;"No disponible";
07/06/2023;8546J6;1;"PROTECTOR I";+++;311650864;;PINARAUTO;22/09/2023;
07/06/2023;9603S5;1;"JUEGO FALDILLAS AR - STANDARD";;312057510;;;"No disponible";2
06/06/2023;8152J7;1;"EMBELLECEDOR D";;311598538;;AUTOMOTOR;"No disponible";
05/06/2023;168002541T;1;EMBELLECEDOR;;311669694;;1478KLM;"No disponible (penuria)";
05/06/2023;1682620880;1;"DEPÓSITO UREA";;311639741;;4958KVX/STOCK;"No disponible (penuria)";
29/05/2023;9837168080;1;"KIT SOPORT FARO I";+++;311572499;VR3F4DGXTNY655425;NY655425;20/09/2023;
26/05/2023;16800261XT;1;"REJILLA SUPERIEUR";;311547929;;;"No disponible (penuria)";2
19/05/2023;453467;1;"KIT CONTACTOR";;311512379;;PUJYREL;"No determinado";
19/05/2023;5416G4;1;EMBELLECEDOR;;311505588;;AUT.QU.;"No disponible";
18/05/2023;98384698DX;1;MONOGRAMME;;;;;;
17/05/2023;7410FY;1;"PARAGOLPES AR I";;;;;"No disponible (penuria)";
16/05/2023;1629118180;1;"CARGADOR C D";;;VF3LPHNZBHS016421;;"PR con clave";
16/05/2023;16799828XT;1;"PROTECTOR D";;;;;"No disponible (penuria)";2
11/05/2023;453467;1;"KIT CONTACTOR";;311512420;;GONZAUTO;"No determinado";
11/05/2023;6528X0;0;CABLERIA;;;;;20/09/2023;
11/05/2023;7414NA;0;"DEFLECTOR ENS";;;;;20/09/2023;1
11/05/2023;8665NS;0;MONOGRAMA;;;;;20/09/2023;1
11/05/2023;8665NT;0;MONOGRAMA;;;;;20/09/2023;1
11/05/2023;95107229;0;"LUZ MATRICULA";;;;;20/09/2023;
11/05/2023;9816284780;0;"RECARGA KIT 300 ML";;;;;20/09/2023;1
10/05/2023;1610306880;0;"ALFOMBR MONOBL AV DAG";;;;;20/09/2023;
10/05/2023;1612123080;0;"APOYO FACHADA D";;;;ARRATE;20/09/2023;
10/05/2023;1618KR;0;JUNTA;;;;;20/09/2023;
10/05/2023;1618LR;0;JUNTA;;;;;20/09/2023;
10/05/2023;1682615880;1;"RES UREA CAMB E";+++;311449568;VF3CUBHZMHY173855;a.m.quintanar;20/09/2023;
10/05/2023;8666CF;0;MONOGRAMA;;;;3645KBN;20/09/2023;
10/05/2023;9675703080;0;"EMBLEMA MARCA";;;;3645KBN;20/09/2023;
10/05/2023;98460198VV;0;"EMBELLECEDOR I SUP";;;;3175LXN;20/09/2023;
09/05/2023;13523215;1;"CAJA ELECT ADML";;;;;"En crisis Desde el 20/05/2022";
09/05/2023;13523215;1;"CAJA ELECT ADML";;;;;"En crisis Desde el 20/05/2022";
09/05/2023;1682615880;1;"RES UREA CAMB E";;311449562;VF3CUBHZMJY082595;8814KMT;19/09/2023;
09/05/2023;453467;1;"KIT CONTACTOR";;311481431;;GONZAUTO;"No determinado";
08/05/2023;889696;1;"TIRANTE ASIENTO";++;;;0526JGL;19/09/2023;
05/05/2023;1631887180;1;"TURBO ESTANDAR";+;311481476;;BONILLA;28/09/2023;
04/05/2023;1682615880;1;"RES UREA CAMB E";+++;311420108;VF3CCBHY6JW007233;PUJYREL;19/09/2023;
04/05/2023;1682615880;1;"RES UREA CAMB E";+++;311436643;VF3CCBHW6HT050973;4769KDR;19/09/2023;
04/05/2023;98283685DX;1;"DIFUSOR DE AIRE I";;311429088;;;"No disponible";1
03/05/2023;1607461280;1;"LLAVE CERRADURA";;311419235;VF30EHNYMGS231443;2518JSR;19/09/2023;
03/05/2023;1637849680;1;"BOMBILLO PUERTA I";;311424222;VR3F35GFTKY147314;;19/09/2023;1
03/05/2023;1682615380;1;"RES UREA CAMB E";++;311411127;VF37JBHY6JJ639584;4746KLP;19/09/2023;
03/05/2023;1682615380;1;"RES UREA CAMB E";++;311411129;VF37FBHY6JJ621713;4089KVH;19/09/2023;
03/05/2023;1682615880;1;"DEPÓSITO UREA C";+++;311420099;VF3CUBHZMHY189995;0519KGV;19/09/2023;
03/05/2023;5416G4;1;EMBELLECEDOR;;311419290;;AUTOMOTOR;"No disponible";
28/04/2023;168132061T;1;"PROTECTOR I";;311397043;;BREMAR;"No disponible (penuria)";
28/04/2023;1682615380;1;"DEPÓSITO UREA C";+++;311404489;VF37BBHZMJJ640768;;19/09/2023;1
28/04/2023;1682615880;1;"DEPÓSITO UREA C";+++;311402845;VF3CUBHZMHY004014;9635JYR;19/09/2023;
27/04/2023;1632266080;1;"ESPUMA EXPANSIB";;311402853;;4395JLC;"No disponible";
27/04/2023;966329;1;"ALFOMBR MONOBL NT";;;;CELCHA;"No disponible";
25/04/2023;453467;1;"KIT CONTACTOR";;311809896;;;"No determinado";
24/04/2023;1629085380;1;"BATERÍA 12 V L2D - 640A - 60AH";+++;311388059;;;19/09/2023;1
24/04/2023;1629085380;4;"BATERÍA 12 V L2D - 640A - 60AH";+++;;;;19/09/2023;
24/04/2023;YQ00108980;1;"ESPEJO RETROVIS I";;;;;"Pieza en curso de referencia";
20/04/2023;1680022680;1;"PILOTO AR I";++;;;;21/09/2023;
20/04/2023;9807658280;1;"KIT SOPORT FARO D";;311346631;;ELPA;"No disponible";
18/04/2023;7903083156;20;"ABRAZADERA LONG 800";;;;;"No disponible (penuria)";
17/04/2023;453467;1;"KIT CONTACTOR";;311453463;;;"No determinado";2
13/04/2023;16799829XT;1;"PROTECTOR I";;311302914;;BONILLA;"No disponible (penuria)";
13/04/2023;966329;1;"ALFOMBR MONOBL NT";;311302918;;AUT.QUINT.;"No disponible";
11/04/2023;453467;1;"KIT CONTACTOR";;311560796;;;"No determinado";2
10/04/2023;93165147;7;ACEITE;;;;"VILLAR PLASENCIA";"No disponible";
04/04/2023;98371275DX;1;MONOGRAMA;;;;;"No disponible";
04/04/2023;YQ00108980;1;"ESPEJO RETROVIS I";;311379543;;LIEBANA;"Pieza en curso de referencia";
31/03/2023;453467;1;"KIT CONTACTOR";;311307385;;;"No determinado";
27/03/2023;453467;3;"KIT CONTACTOR";;311197657;;BUENAVISTA;"No determinado";
23/03/2023;16800261XT;1;"REJILLA SUPERIEUR";;311176961;VF37JBHZMJJ750785;6704KNB;"No disponible (penuria)";
23/03/2023;7903083156;4;"ABRAZADERA LONG 800";;;;;"No disponible (penuria)";
22/03/2023;16800261XT;1;"REJILLA SUPERIEUR";;311166950;;"eusebio chacon";"No disponible (penuria)";
22/03/2023;168132071T;1;"PROTECTOR D";;311188466;;;"No disponible (penuria)";1
21/03/2023;453467;1;"KIT CONTACTOR";;311157584;VF3XDAHZ4FZ044067;;"No determinado";1
21/03/2023;93198083;1;"PARASOL I";;311161792;;HUMANES;"No disponible";
14/03/2023;5706P4;1;"SOP ALTERNADOR SUP";;311140439;;"eusebio chacon";"No disponible";
14/03/2023;96768681VV;1;EMBELLECEDOR;;311100374;;5374LWR;"No disponible";
08/03/2023;1682620880;1;"DEPÓSITO UREA";++;311381103;;;22/09/2023;
07/03/2023;453467;1;"KIT CONTACTOR";;311039462;;;"No determinado";1
01/03/2023;453467;1;"KIT CONTACTOR";;311091500;;automotor;"No determinado";
28/02/2023;1613564880;1;EMBELLECEDOR;;311002032;;"VISO MOTOR";"No disponible (penuria)";
28/02/2023;16800261XT;1;"REJILLA SUPERIEUR";;311002039;;"VISO MOTOR";"No disponible (penuria)";
28/02/2023;168132051T;1;"PROTECTOR D";;;;;"No disponible (penuria)";
17/02/2023;1614310880;4;"TORNILLO M12X125";+++;;;;26/09/2023;
16/02/2023;16800261XT;1;"REJILLA SUPERIEUR";;310908154;;CASTRO;"No disponible (penuria)";
13/02/2023;7903083156;4;"ABRAZADERA LONG 800";;310858118;;PINARAUT;"No disponible (penuria)";
09/02/2023;7013R5;1;"DEFLECTOR AIRE I AV";;310849499;;BONILLA;"No disponible";
08/02/2023;7120EP;4;REMACHE;;310841457;;12W38508;"No disponible";
11/01/2023;1613564980;1;EMBELLECEDOR;;310605999;;TALLER;"No disponible";
11/01/2023;16800261XT;1;"REJILLA SUPERIEUR";;311221714;;;"No disponible (penuria)";
05/01/2023;9163339;1;"TUBO DE GRASA";+++;;;;19/09/2023;
05/01/2023;98283685DX;1;"DIFUSOR DE AIRE I";;310652619;;;"No disponible";1
14/12/2022;6460AY;2;"JUNTA DE TUBO";+++;;;;20/09/2023;
12/12/2022;1682620080;0;"DEPÓSITO UREA";;;;BONILLA;06/07/2023;
