"Fecha Pedido";Referencia;Cantidad;Descripcion;Fiabilidad;"N reclamacion";VIN;Comentario;Fentrega;Cuenta
29/08/2023;1648527080;1;"JUEGO ALFOMBRAS AV AR DAG";;312162512;;;"No disponible";
25/08/2023;9826063780;1;"ARBOL PRIMARIO 1ERE 11X38-2EME 21X4";;312170597;;;"No disponible (penuria)";
25/08/2023;9834730080;1;COMPRESOR;+++;312170436;;;20/09/2023;
25/08/2023;9840901380;1;"VALVULA EXPANS";;312170601;;;"No disponible";
23/08/2023;1682620880;1;"DEPÓSITO UREA";;312048338;;;"No disponible (penuria)";
16/08/2023;1682813780;1;"CARGADOR BATERI";;312018171;VR1J4DGZUMY540570;;"PR con clave";
16/08/2023;YL018744XT;1;"CORREDERA LUNA I";+++;312011866;;;31/10/2023;
14/08/2023;9665878080;1;"CAJA PGA";;312005391;VF38DBHZMFL041295;;"No disponible (penuria)";
09/08/2023;YL01399680;1;"MOTOR ARRANQ NE";+;311983562;VR7NCHNSPN4800999;;20/11/2023;
03/08/2023;9840901380;1;"VALVULA EXPANS";;311952647;VR3UKZKXZNJ628693;;"No disponible";
01/08/2023;9665878080;1;"CAJA PGA";;311937472;VF7NXBHZTGY527632;;"No disponible (penuria)";
28/07/2023;98215206ZD;1;"FACHADA CONSOLA";+++;311925934;VR1J45GFUMY533506;;20/09/2023;
28/07/2023;KLB795551;0;"NEU KLEBER 2055516 DYNAXER HP4";;;;;20/09/2023;
27/07/2023;98270089VV;1;"EMBELLECEDOR I AR";+++;311909509;VF3MCYHZUMS076262;;20/09/2023;
26/07/2023;453467;1;"KIT CONTACTOR";;311909402;VF7RD9HZC54024607;;"No determinado";
26/07/2023;9170LC;2;"LLAVE CERRADURA";;311909507;VF7LC9HXC74434022;;20/09/2023;
18/07/2023;9847929580;1;COMPRESOR;;311847807;;;"No disponible (penuria)";
14/07/2023;9847929580;1;COMPRESOR;+++;311837198;VR1UJZKXZKW140221;;20/09/2023;
11/07/2023;1618066680;1;"KIT SOPORT FARO D";++;311808765;VF7SXHMRVKT651319;;20/09/2023;
11/07/2023;1682791980;1;"CAJA ARTIV";;311837128;VR1JCYHZUNY613764;;"PR con clave";
10/07/2023;6438F5;1;"SURTIDOR D";;311808648;;;"No disponible";
03/07/2023;1680288580;1;AUTORRADIO;;311808707;;;"No determinado";
27/06/2023;5430W0;1;"MODULO EMISOR";;311731118;VF30ARHE89S207642;;"No disponible";
22/06/2023;YR00102380;10;TUERCA;;311705727;;;"No disponible";
20/06/2023;1682203980;1;"PANEL GUARNECID";;311690056;;;"No disponible";
16/06/2023;93171140;1;ANTIRROBO;;311672964;W0LJ7BCA65V615838;;"PR con clave";
15/06/2023;1680003880;1;RECEPTOR;;311655458;;;"No determinado";
16/05/2023;9665878080;1;"CAJA PGA";;311486088;VF7NCHNZ6JY512102;;"No disponible (penuria)";
11/05/2023;997180;0;"CUENCO PREPARAC 75 BOLS + 25 COUVERC";;;;;20/09/2023;
11/05/2023;RBF3397008932;0;"I:ESCO LIMPIA";;;;;20/09/2023;
09/05/2023;6477R0;1;"TUBO FREON";++;;;;19/09/2023;
09/05/2023;9845246180;1;"ETIQ DESBL CARG";++;311451111;;;19/09/2023;
08/05/2023;657071;1;"CAJA SERVICIO";++;311451067;VF7SC9HXCAA555220;;19/09/2023;
03/05/2023;1617020180;1;"LLAVE CERRADURA";;311427130;VR7EFYHYCKN568891;;19/09/2023;
03/05/2023;1688061780;1;PROTECCION;;311427230;;;"No determinado";
21/04/2023;1613844180;1;"KIT ACCESORIO";;311353071;;;"No determinado";
13/04/2023;98270089VV;1;"EMBELLECEDOR I AR";+++;311324060;;;26/09/2023;
21/02/2023;9807760180;1;"TUBO FREON";;310918265;VF3VEAHXHJZ009690;;"No disponible (penuria)";
14/12/2022;9808515080;1;SOPORTE;;310396765;;;"No disponible";
12/12/2022;1628939080;1;"PANEL TRASERO ASS";+++;310396747;;;21/09/2023;
11/11/2022;0249C2;0;JUNTA;;;;;06/07/2023;
08/11/2022;9807279280;1;JUNTA;+++;310138639;;;06/07/2023;
03/11/2022;9807279280;1;JUNTA;++;310102981;;;06/07/2023;
28/10/2022;9807279280;1;JUNTA;++;310068470;;;06/07/2023;
28/10/2022;9807279280;1;JUNTA;++;310068468;;;06/07/2023;
24/10/2022;9807279280;1;JUNTA;++;310029763;;;06/07/2023;
21/10/2022;9807279280;1;JUNTA;++;310029770;;;06/07/2023;
20/10/2022;9807279280;1;JUNTA;++;310029778;;;06/07/2023;
20/10/2022;9807279280;1;JUNTA;++;310029771;;;06/07/2023;
15/09/2022;9808515080;1;SOPORTE;;309754632;VF30ARHE89S234591;;"No disponible";
